,link,title,title_dist,abstract,abstract_dist
46,https://portal.sinteza.singidunum.ac.rs/paper/1021,Leveraging LLMS for Automatic Forum Scraper Generation,0.3077495,"Web forums contain valuable user-generated content (UGC), but crawling them presents a challenging task due to the differences between forum technologies and structures. This paper proposes a general approach that uses Large Language Models (LLMs) to automatically detect the forum technology (e.g., phpBB, vBulletin, SMF, Discuz!) and generate a web scraper for that forum’s layout, structure, and pagination. LLM first identifies the platform of a given forum by analysing its HTML patterns after it generates code to efficiently collect available posts and threads that are publicly available and don’t require user registration. Several state-of-the-art LLMs are evaluated (GPT-4, Claude 2, and Mistral 7B) for this task, comparing their speed, accuracy, and reliability in generating functional scraping code. A proof-of-concept functionality was demonstrated on a chosen phpBB forum technology by crawling its content with LLM-generated Python code. Experimental results show that the LLM-generated scrapers can successfully retrieve forum posts with high accuracy, matching manually coded crawlers while adapting automatically to different forum structures. The findings suggest that LLMs can significantly improve forum data collection, avoiding manual per-site adjustments and reducing duplicate content in incremental crawls.",0.2887265
644,https://portal.sinteza.singidunum.ac.rs/paper/432,Development of Open-Source Software for Arabic Text Stemming and Classification,0.34661597,"This paper presents implementation of a software tool for Arabic text stemming
and classification. The software tool is based on open source implementation
of the Lucene based Light stemmer for Arabic language and it enables
stemming and classification into 12 categories (religion, economics, sports,
science, computers, history, medicine, entertainment, engineering, literature,
politics and food).",0.3111413
76,https://portal.sinteza.singidunum.ac.rs/paper/1010,Enhancing Retrieval - Augmented Generation with Graph-Based Retrieval and Generative Modeling,0.32412386,"This paper presents the design and implementation of a robust RetrievalAugmented Generation (RAG) system that integrates advanced retrieval, ranking, and generative techniques to address knowledge-intensive tasks. The system combines dense retrieval using ChromaDB, metadata-driven keyword extraction with YAKE and KMedoids algorithm for clustering keywords, graph-based retrieval leveraging PageRank, and cross-encoder re-ranking to deliver precise and contextually relevant results. These retrieval outputs are synthesized into high-quality conversational responses using Hugging Face models and Google API. A modular pipeline ensures scalability, seamlessly integrating various retrieval and generative components. Evaluation results demonstrate high retrieval precision, improved recall through graph-based methods, and enhanced response quality through structured prompt engineering. This work highlights the effectiveness of combining diverse techniques in RAG systems, offering a foundation for scalable, reliable, and context-aware applications in domains such as customer support, education, and research.",0.36117256
119,https://portal.sinteza.singidunum.ac.rs/paper/951,The Impact of LLM-Based Chatbots on Secondary Computing Education,0.37139934,"This study aims to show the difference in teaching and learning approaches in secondary education. The purpose is to compare the output of a Computing project of three different groups of students with different resources for the same task. The main resource for the first group was the Computing book and teacher presentations, for the second group the main resource were the search engines Google and Bing, and the third group’s main resource was the Large Language Model. By comparing the outcomes and performance of the three groups, the effectiveness of using different resources in a controlled classroom environment is assessed, showing the difference in overall performance of each group - project completion times vary widely, as do the definitions of key terms and answers to specific questions. The study also shows that resources such as books can be very useful as the limited experience of students means that the standards are very clear. Using a search engine expands the reach of information to students but also leads to too many choices. The problem that arises here is that of data accuracy, for example: whether the data obtained by LLM is accurate and sufficient for defining key terms and completing tasks.",0.3622796
22,https://portal.sinteza.singidunum.ac.rs/paper/1083,Multimodal Retrieval-Augmented Generation in Knowledge Systems: A Framework for Enhanced Semantic Search and Response Accuracy,0.31359595,"Maintaining structured and up-to-date documentation remains a critical challenge in knowledge management, especially as organizational data becomes increasingly unstructured and multimodal. This paper presents a framework for a Multimodal Retrieval-Augmented Generation (RAG) Knowledge Database Assistant, designed to enhance semantic search and improve the accuracy of generated responses. By combining retrieval-augmented generation techniques with support for diverse data modalities (e.g., text, images, and structured metadata), the proposed system mitigates hallucination risks and increases the reliability of information access. The framework enables precise, contextaware question answering, even when underlying knowledge repositories are incomplete or inconsistently maintained. Our approach demonstrates how multimodal integration and RAG pipelines can form a robust foundation for next-generation knowledge systems.",0.3638605
113,https://portal.sinteza.singidunum.ac.rs/paper/957,Artificial Intelligence-Guided Web Development – Generating MongoDB Queries,0.37013203,"The topic of this paper is artificial intelligence (AI) guided web development with a focus on MongoDB databases. An online tool for automated generating code is used to investigate the issues arising in artificial intelligence-guided database query writing. For that purpose, a database in the MongoDB Compass framework is created. Within the research, a set of 28 prompts for generating appropriate database queries has been given to the tool. Then all obtained MongoDB queries are tested to see if they are correct by implementing them directly on the database in MongoDB Compass. All incorrect queries are analyzed, and a more precise prompt to the code generator tool is given subsequently. This process is repeated until a correct query is obtained. The aim has been to find out how precise a prompt to AI should be and what we should pay attention to if we want to obtain correct queries",0.37676597
296,https://portal.sinteza.singidunum.ac.rs/paper/804,The Tools and Resources for Clinical Text Processing,0.38226765,"The expansion of electronic health has produced a large amount of information in medical information systems in a structured and unstructured format. The processing of unstructured data in the form of text is performed using natural language processing techniques. Natural language processing requires specific resources for processing text depending on the domain of the text as well as the language in which it is written. This paper aims to present the available tools, lexical resources, and corpora used in the analysis of clinical texts.",0.39018404
589,https://portal.sinteza.singidunum.ac.rs/paper/569,The Use of Automated Machine Learning Methods and Tools in Data Science,0.36269802,"Data Science needs powerful and efficient, yet comprehensive and easy methods and tools to use. Machine learning methods are especially important for generating useful knowledge and insights from rapidly growing amounts of data. However, their use is not always straightforward. Full or partial automation of a machine learning process has been a long-time goal which has become increasingly important during the last couple of years. In this work, fully automated machine learning tools for typical data science tasks are discussed. An empirical comparison of actual automated machine tools and common manual methods is provided for different programming environments based on Java, R and Python languages.",0.40553916
619,https://portal.sinteza.singidunum.ac.rs/paper/407,A Constrained Approximate Search Scenario for Intrusion Detection in Hosts and Networks,0.39952624,"It is well known that most new attacks against computer systems and networks
originate from the old ones. Namely, it is possible to change the old attack patterns
in such a way that the modified patterns affect approximately the same
targets on the victim system and pass undetected by signature-based Intrusion
Detection Systems (IDS) or other detection tools. In this paper, we consider
a scenario where an old attack pattern is changed by means of an automatic
tool. The structure of changes must be kept under control in order for the
attack to remain effective. For example, the number of changed symbols in
an automatically crafted string in the attack pattern must be limited. Otherwise,
this string would not affect the victim system in the same way as in the
original attack. Under such an assumption, we describe the requirements for
a search algorithm implemented in the detection tool (for example, an IDS)
that would be capable of detecting the changes in the old attack signature. We
present the basic structure of a generic search algorithm of this kind, describe
some application scenarios and discuss the effectiveness of the algorithm
under these scenarios.",0.43025577
244,https://portal.sinteza.singidunum.ac.rs/paper/858,An Implementation of a Web Laboratory Converting Off-Line Experiments Into Remotely Accessible Experiments,0.39853412,"The paper presents a procedure for realizing a Web Laboratory, which enables the conversion of offline experiments into experiments available remotely. In this way, the user is provided with the same capacity for experimentation as in the case of conventional laboratory exercises. This paper aims to offer the proposed methodology to anyone who has an interest in organizing remote experiments. The proposed methodology ensures the integrity of remote experiments concerning possible cyber-attacks.",0.4468193
